Date;Heure;Min;Sec;stationCode;stationName;stationState;stationKioskState;stationNbEDock;stationNbBike;stationNbEBike;nbFreeDock;nbFreeEDock;stationNbBikeOverflow;stationNbEBikeOverflow;stationInsertedInDb;stationOperativeDate
8/05/19;17;14;41;4001;Conservatoire bis;OPEN;;22;1;;21;;;;19-05-8 17:14:41;;
8/05/19;17;14;41;5026;Rue de la Baleine;OPEN;;14;2;;12;;;;19-05-8 17:14:41;;
8/05/19;17;14;42;3038;Vivier Merle / Part-Dieu;OPEN;;40;5;;35;;;;19-05-8 17:14:42;;
8/05/19;17;14;42;3079;Place Louise;CLOSED;;16;0;;0;;;;19-05-8 17:14:42;;
8/05/19;17;14;42;2025;Mercière / Ferrandière;OPEN;;10;1;;9;;;;19-05-8 17:14:42;;
8/05/19;17;14;43;7004;Mairie du 7ème;OPEN;;30;11;;19;;;;19-05-8 17:14:43;;
8/05/19;17;14;43;5041;L\'Homme de la Roche;OPEN;;21;11;;10;;;;19-05-8 17:14:43;;
8/05/19;17;14;43;5009;Place Ennemond Fousseret;OPEN;;16;6;;9;;;;19-05-8 17:14:43;;
8/05/19;17;14;43;10091;Château Gaillard / Fort;OPEN;;16;5;;10;;;;19-05-8 17:14:43;;
8/05/19;17;14;44;4025;Chazière;OPEN;;20;0;;17;;;;19-05-8 17:14:44;;
8/05/19;17;14;44;10113;Gare de Villeurbanne;OPEN;;22;16;;6;;;;19-05-8 17:14:44;;
8/05/19;17;14;44;4023;Pont Mazaryk;OPEN;;22;0;;22;;;;19-05-8 17:14:44;;
8/05/19;17;14;45;3066;Kimmerling / Faure;OPEN;;20;15;;0;;;;19-05-8 17:14:45;;
8/05/19;17;14;45;10111;Charles Hernu;OPEN;;16;7;;9;;;;19-05-8 17:14:45;;
8/05/19;17;14;45;1034;Carmélites;OPEN;;16;0;;16;;;;19-05-8 17:14:45;;
8/05/19;17;14;46;3013;Place Antoinette;OPEN;;21;17;;4;;;;19-05-8 17:14:46;;
8/05/19;17;14;46;10008;Salengro / Vaillant;OPEN;;24;14;;10;;;;19-05-8 17:14:46;;
8/05/19;17;14;46;3083;Les Halles;OPEN;;18;3;;15;;;;19-05-8 17:14:46;;
8/05/19;17;14;46;6024;Tronchet / Anatole France;OPEN;;10;0;;10;;;;19-05-8 17:14:46;;
8/05/19;17;14;47;3071;BioParc;OPEN;;20;2;;18;;;;19-05-8 17:14:47;;
8/05/19;17;14;47;5006;Quai Romain Rolland;OPEN;;17;2;;15;;;;19-05-8 17:14:47;;
8/05/19;17;14;47;10014;Gare Laurent Bonnevay;OPEN;;29;2;;24;;;;19-05-8 17:14:47;;
8/05/19;17;14;48;10004;Tonkin;OPEN;;10;3;;7;;;;19-05-8 17:14:48;;
8/05/19;17;14;48;1013;Martinière;OPEN;;11;4;;7;;;;19-05-8 17:14:48;;
8/05/19;17;14;48;9010;Piscine de Vaise;OPEN;;19;15;;4;;;;19-05-8 17:14:48;;
8/05/19;17;14;49;6028;Récamier / Tête d\'Or;OPEN;;16;4;;8;;;;19-05-8 17:14:49;;
8/05/19;17;14;49;10034;Docteur Damidot;OPEN;;10;9;;1;;;;19-05-8 17:14:49;;
8/05/19;17;14;49;5040;Place Crépu;OPEN;;20;9;;9;;;;19-05-8 17:14:49;;
8/05/19;17;14;49;7008;Jean Jaurès / Guillotière;OPEN;;10;3;;7;;;;19-05-8 17:14:49;;
